record_id,timestamp,farm,panel_capacity_kw,panel_output_kwh,ambient_temperature_c,sunlight_duration_hours,Generation_Efficiency,Hour,Date,Time_of_Day
SOL0034,2026-03-02 11:31:00,Farm_D,100,29.63,35.4,3.1,9.558064516129031,11,2026-03-02,Morning
SOL0035,2026-06-08 06:01:00,Farm_C,100,50.07,29.3,5.7,8.784210526315789,6,2026-06-08,Morning
SOL0036,2026-07-08 03:27:00,Farm_D,120,54.6,34.3,5.2,10.5,3,2026-07-08,Morning
SOL0037,2026-06-14 22:09:00,Farm_B,100,37.82,26.7,4.3,8.795348837209303,22,2026-06-14,Evening
SOL0038,2026-03-13 07:33:00,Farm_A,150,91.18,32.2,6.2,14.706451612903226,7,2026-03-13,Morning
SOL0039,2026-04-09 03:19:00,Farm_A,180,162.37,33.9,9.7,16.73917525773196,3,2026-04-09,Morning
SOL0040,2026-04-24 08:38:00,Farm_B,180,122.58,38.8,7.1,17.26478873239437,8,2026-04-24,Morning
SOL0041,2026-05-21 06:45:00,Farm_A,100,39.91,37.2,4.4,9.070454545454544,6,2026-05-21,Morning
SOL0042,2026-05-01 15:29:00,Farm_C,150,135.11,31.4,8.9,15.180898876404495,15,2026-05-01,Afternoon
SOL0043,2026-05-05 10:10:00,Farm_B,120,118.75,27.1,9.5,12.5,10,2026-05-05,Morning
SOL0045,2026-03-22 23:53:00,Farm_A,120,106.52,33.2,9.0,11.835555555555555,23,2026-03-22,Evening
SOL0046,2026-05-25 21:20:00,Farm_D,180,78.31,30.7,5.0,15.662,21,2026-05-25,Evening
SOL0047,2026-07-30 19:26:00,Farm_C,180,131.27,34.7,8.7,15.088505747126439,19,2026-07-30,Evening
SOL0048,2026-07-04 03:38:00,Farm_C,120,43.53,27.4,3.7,11.764864864864865,3,2026-07-04,Morning
SOL0049,2026-02-03 12:44:00,Farm_B,180,92.06,33.8,5.9,15.603389830508474,12,2026-02-03,Afternoon
SOL0050,2026-02-28 21:10:00,Farm_D,180,89.14,30.0,5.6,15.917857142857144,21,2026-02-28,Evening
SOL0051,2026-03-25 00:41:00,Farm_D,120,59.06,23.2,5.1,11.580392156862747,0,2026-03-25,Morning
SOL0052,2026-04-09 22:28:00,Farm_A,100,36.05,36.6,4.3,8.383720930232558,22,2026-04-09,Evening
SOL0053,2026-05-01 13:24:00,Farm_A,150,124.37,37.6,8.5,14.631764705882354,13,2026-05-01,Afternoon
SOL0054,2026-07-22 00:55:00,Farm_A,100,73.94,32.4,7.4,9.99189189189189,0,2026-07-22,Morning
SOL0055,2026-03-15 05:14:00,Farm_C,100,74.27,35.6,8.7,8.536781609195403,5,2026-03-15,Morning
SOL0056,2026-07-30 22:32:00,Farm_A,100,77.67,31.7,7.4,10.495945945945946,22,2026-07-30,Evening
SOL0057,2026-07-02 02:28:00,Farm_A,100,60.71,33.1,6.4,9.4859375,2,2026-07-02,Morning
SOL0058,2026-03-20 08:52:00,Farm_D,180,105.2,27.5,5.8,18.137931034482758,8,2026-03-20,Morning
SOL0059,2026-03-21 22:56:00,Farm_A,100,84.79,27.2,9.3,9.117204301075269,22,2026-03-21,Evening
SOL0060,2026-04-08 21:48:00,Farm_C,100,38.33,27.2,3.6,10.647222222222222,21,2026-04-08,Evening
SOL0061,2026-04-06 11:49:00,Farm_D,150,88.08,34.0,6.5,13.55076923076923,11,2026-04-06,Morning
SOL0062,2026-02-20 16:58:00,Farm_D,180,142.24,25.2,8.9,15.982022471910113,16,2026-02-20,Afternoon
SOL0063,2026-06-28 05:15:00,Farm_B,100,78.89,33.4,8.6,9.173255813953489,5,2026-06-28,Morning
SOL0064,2026-01-19 15:24:00,Farm_D,120,43.05,26.5,3.7,11.635135135135133,15,2026-01-19,Afternoon
SOL0065,2026-02-23 19:13:00,Farm_C,180,154.47,30.3,8.3,18.610843373493974,19,2026-02-23,Evening
SOL0066,2026-07-11 14:07:00,Farm_D,120,36.08,25.9,3.3,10.933333333333334,14,2026-07-11,Afternoon
SOL0067,2026-01-08 15:23:00,Farm_B,100,70.35,16.6,8.1,8.685185185185185,15,2026-01-08,Afternoon
SOL0068,2026-02-17 22:17:00,Farm_D,180,165.95,22.9,9.8,16.933673469387752,22,2026-02-17,Evening
SOL0069,2026-01-07 09:32:00,Farm_C,120,73.34,36.5,7.2,10.186111111111112,9,2026-01-07,Morning
SOL0070,2026-01-03 19:31:00,Farm_A,180,134.86,30.5,7.3,18.473972602739728,19,2026-01-03,Evening
SOL0071,2026-06-26 07:23:00,Farm_D,150,57.94,34.3,4.1,14.131707317073172,7,2026-06-26,Morning
SOL0072,2026-03-28 15:12:00,Farm_D,120,63.96,26.4,5.5,11.629090909090909,15,2026-03-28,Afternoon
SOL0073,2026-07-29 07:36:00,Farm_C,120,49.91,41.1,4.9,10.185714285714285,7,2026-07-29,Morning
SOL0074,2026-02-20 23:58:00,Farm_D,120,97.94,25.7,8.4,11.659523809523808,23,2026-02-20,Evening
SOL0075,2026-01-21 14:35:00,Farm_C,150,93.17,35.0,7.1,13.122535211267607,14,2026-01-21,Afternoon
SOL0076,2026-03-02 13:58:00,Farm_D,180,131.75,28.0,7.9,16.67721518987342,13,2026-03-02,Afternoon
SOL0077,2026-03-07 02:26:00,Farm_C,120,66.33,35.2,6.6,10.05,2,2026-03-07,Morning
SOL0078,2026-02-15 13:43:00,Farm_D,180,150.82,26.6,8.3,18.171084337349395,13,2026-02-15,Afternoon
SOL0079,2026-02-05 03:54:00,Farm_D,180,80.1,36.6,5.2,15.403846153846152,3,2026-02-05,Morning
SOL0080,2026-05-18 09:19:00,Farm_D,120,77.28,43.5,6.7,11.534328358208954,9,2026-05-18,Morning
SOL0081,2026-07-26 13:44:00,Farm_A,100,42.72,24.8,4.8,8.9,13,2026-07-26,Afternoon
SOL0082,2026-05-29 12:56:00,Farm_B,120,103.77,28.3,8.2,12.654878048780489,12,2026-05-29,Afternoon
SOL0084,2026-07-21 23:25:00,Farm_B,120,71.38,31.0,6.9,10.344927536231882,23,2026-07-21,Evening
SOL0085,2026-03-16 16:49:00,Farm_B,180,89.43,32.1,5.8,15.41896551724138,16,2026-03-16,Afternoon
SOL0086,2026-06-20 06:04:00,Farm_B,120,73.75,29.5,6.2,11.89516129032258,6,2026-06-20,Morning
SOL0087,2026-05-13 03:24:00,Farm_A,100,96.42,28.9,9.3,10.36774193548387,3,2026-05-13,Morning
SOL0088,2026-06-19 13:11:00,Farm_D,180,91.34,31.7,5.8,15.748275862068967,13,2026-06-19,Afternoon
SOL0089,2026-05-25 21:25:00,Farm_C,120,59.97,28.2,5.6,10.708928571428572,21,2026-05-25,Evening
SOL0090,2026-02-06 12:01:00,Farm_D,100,48.12,26.6,4.8,10.025,12,2026-02-06,Afternoon
SOL0091,2026-03-16 01:18:00,Farm_C,180,97.65,35.0,6.5,15.023076923076925,1,2026-03-16,Morning
SOL0092,2026-02-26 19:35:00,Farm_D,100,43.05,35.1,4.7,9.159574468085106,19,2026-02-26,Evening
SOL0093,2026-03-14 01:06:00,Farm_C,150,111.06,30.2,7.4,15.008108108108107,1,2026-03-14,Morning
SOL0094,2026-01-02 09:16:00,Farm_A,120,65.34,35.1,6.1,10.711475409836067,9,2026-01-02,Morning
SOL0095,2026-06-27 04:00:00,Farm_B,150,56.37,25.0,4.1,13.74878048780488,4,2026-06-27,Morning
SOL0096,2026-07-20 16:32:00,Farm_B,120,105.34,33.1,8.5,12.392941176470588,16,2026-07-20,Afternoon
SOL0097,2026-06-22 19:56:00,Farm_B,180,148.85,31.8,9.8,15.18877551020408,19,2026-06-22,Evening
SOL0098,2026-01-14 14:38:00,Farm_C,120,56.28,32.2,5.1,11.03529411764706,14,2026-01-14,Afternoon
SOL0099,2026-05-04 14:47:00,Farm_A,100,99.46,28.8,9.6,10.360416666666666,14,2026-05-04,Afternoon
SOL0100,2026-02-02 22:17:00,Farm_A,180,92.27,37.9,5.3,17.40943396226415,22,2026-02-02,Evening
SOL0101,2026-05-21 05:04:00,Farm_C,150,72.95,28.7,5.2,14.028846153846153,5,2026-05-21,Morning
SOL0102,2026-02-21 17:55:00,Farm_C,180,161.01,30.2,9.9,16.263636363636362,17,2026-02-21,Evening
SOL0103,2026-05-28 03:22:00,Farm_C,100,74.26,40.6,7.5,9.901333333333334,3,2026-05-28,Morning
SOL0104,2026-06-01 10:39:00,Farm_B,100,35.63,29.8,3.5,10.180000000000001,10,2026-06-01,Morning
SOL0105,2026-02-12 12:34:00,Farm_D,150,62.81,29.4,4.2,14.954761904761904,12,2026-02-12,Afternoon
SOL0106,2026-01-14 09:50:00,Farm_C,150,81.92,31.9,5.9,13.884745762711864,9,2026-01-14,Morning
SOL0107,2026-01-31 12:29:00,Farm_A,150,100.73,34.4,7.2,13.990277777777777,12,2026-01-31,Afternoon
SOL0108,2026-01-07 05:13:00,Farm_C,150,44.34,44.6,3.6,12.316666666666666,5,2026-01-07,Morning
SOL0109,2026-05-02 03:01:00,Farm_A,120,85.27,26.7,6.9,12.357971014492753,3,2026-05-02,Morning
SOL0110,2026-03-15 08:07:00,Farm_C,120,69.06,31.5,5.7,12.115789473684211,8,2026-03-15,Morning
SOL0111,2026-04-11 09:40:00,Farm_B,120,99.39,26.4,9.5,10.462105263157895,9,2026-04-11,Morning
SOL0112,2026-01-04 14:47:00,Farm_A,120,77.22,30.8,6.8,11.355882352941176,14,2026-01-04,Afternoon
SOL0113,2026-04-02 03:24:00,Farm_C,150,107.16,29.8,7.6,14.1,3,2026-04-02,Morning
SOL0114,2026-05-09 04:11:00,Farm_A,120,120.0,31.0,9.6,12.5,4,2026-05-09,Morning
SOL0115,2026-07-14 08:45:00,Farm_C,180,114.56,26.4,7.3,15.693150684931508,8,2026-07-14,Morning
SOL0116,2026-07-06 12:09:00,Farm_A,180,65.53,33.1,3.8,17.244736842105265,12,2026-07-06,Afternoon
SOL0117,2026-06-17 22:25:00,Farm_B,150,116.83,40.5,8.1,14.423456790123458,22,2026-06-17,Evening
SOL0118,2026-02-15 22:25:00,Farm_C,180,110.28,31.5,6.5,16.966153846153848,22,2026-02-15,Evening
SOL0119,2026-02-10 11:39:00,Farm_D,150,91.47,33.3,6.9,13.256521739130434,11,2026-02-10,Morning
SOL0120,2026-05-02 11:36:00,Farm_C,100,68.89,30.4,7.9,8.720253164556961,11,2026-05-02,Morning
