record_id,timestamp,farm,panel_capacity_kw,panel_output_kwh,ambient_temperature_c,sunlight_duration_hours
SOL0029,2026-04-03 02:04,Farm_C,100,37.89,32.8,3.8
SOL0030,2026-03-07 17:21,Farm_D,180,176.53,29.4,9.2
SOL0031,2026-04-24 16:47,Farm_D,120,71.98,31.3,6.6
SOL0032,2026-04-12 23:56,Farm_A,120,70.57,31.2,6.6
SOL0033,2026-01-07 02:32,Farm_C,150,80.17,31.8,5.7
SOL0034,2026-03-02 11:31,Farm_D,100,29.63,35.4,3.1
SOL0035,2026-06-08 06:01,Farm_C,100,50.07,29.3,5.7
SOL0036,2026-07-08 03:27,Farm_D,120,54.6,34.3,5.2
SOL0037,2026-06-14 22:09,Farm_B,100,37.82,26.7,4.3
SOL0038,2026-03-13 07:33,Farm_A,150,91.18,32.2,6.2
SOL0039,2026-04-09 03:19,Farm_A,180,162.37,33.9,9.7
SOL0040,2026-04-24 08:38,Farm_B,180,122.58,38.8,7.1
SOL0041,2026-05-21 06:45,Farm_A,100,39.91,37.2,4.4
SOL0042,2026-05-01 15:29,Farm_C,150,135.11,31.4,8.9
SOL0043,2026-05-05 10:10,Farm_B,120,118.75,27.1,9.5
SOL0044,2026-02-03 19:11,Farm_B,120,76.65,34.3,
SOL0045,2026-03-22 23:53,Farm_A,120,106.52,33.2,9.0
SOL0046,2026-05-25 21:20,Farm_D,180,78.31,30.7,5.0
SOL0047,2026-07-30 19:26,Farm_C,180,131.27,34.7,8.7
SOL0048,2026-07-04 03:38,Farm_C,120,43.53,27.4,3.7
SOL0049,2026-02-03 12:44,Farm_B,180,92.06,33.8,5.9
SOL0050,2026-02-28 21:10,Farm_D,180,89.14,30.0,5.6
SOL0051,2026-03-25 00:41,Farm_D,120,59.06,23.2,5.1
SOL0052,2026-04-09 22:28,Farm_A,100,36.05,36.6,4.3
SOL0053,2026-05-01 13:24,Farm_A,150,124.37,37.6,8.5
SOL0054,2026-07-22 00:55,Farm_A,100,73.94,32.4,7.4
SOL0055,2026-03-15 05:14,Farm_C,100,74.27,35.6,8.7
SOL0056,2026-07-30 22:32,Farm_A,100,77.67,31.7,7.4
SOL0057,2026-07-02 02:28,Farm_A,100,60.71,33.1,6.4
SOL0058,2026-03-20 08:52,Farm_D,180,105.2,27.5,5.8
SOL0059,2026-03-21 22:56,Farm_A,100,84.79,27.2,9.3
SOL0060,2026-04-08 21:48,Farm_C,100,38.33,27.2,3.6
SOL0061,2026-04-06 11:49,Farm_D,150,88.08,34.0,6.5
SOL0062,2026-02-20 16:58,Farm_D,180,142.24,25.2,8.9
SOL0063,2026-06-28 05:15,Farm_B,100,78.89,33.4,8.6
SOL0064,2026-01-19 15:24,Farm_D,120,43.05,26.5,3.7
SOL0065,2026-02-23 19:13,Farm_C,180,154.47,30.3,8.3
SOL0066,2026-07-11 14:07,Farm_D,120,36.08,25.9,3.3
SOL0067,2026-01-08 15:23,Farm_B,100,70.35,16.6,8.1
SOL0068,2026-02-17 22:17,Farm_D,180,165.95,22.9,9.8
SOL0069,2026-01-07 09:32,Farm_C,120,73.34,36.5,7.2
SOL0070,2026-01-03 19:31,Farm_A,180,134.86,30.5,7.3
SOL0071,2026-06-26 07:23,Farm_D,150,57.94,34.3,4.1
SOL0072,2026-03-28 15:12,Farm_D,120,63.96,26.4,5.5
SOL0073,2026-07-29 07:36,Farm_C,120,49.91,41.1,4.9
SOL0074,2026-02-20 23:58,Farm_D,120,97.94,25.7,8.4
SOL0075,2026-01-21 14:35,Farm_C,150,93.17,35.0,7.1
SOL0076,2026-03-02 13:58,Farm_D,180,131.75,28.0,7.9
SOL0077,2026-03-07 02:26,Farm_C,120,66.33,35.2,6.6
SOL0078,2026-02-15 13:43,Farm_D,180,150.82,26.6,8.3
SOL0079,2026-02-05 03:54,Farm_D,180,80.1,36.6,5.2
SOL0080,2026-05-18 09:19,Farm_D,120,77.28,43.5,6.7
SOL0081,2026-07-26 13:44,Farm_A,100,42.72,24.8,4.8
SOL0082,2026-05-29 12:56,Farm_B,120,103.77,28.3,8.2
SOL0083,2026-01-17 11:53,Farm_B,100,85.56,,
SOL0084,2026-07-21 23:25,Farm_B,120,71.38,31.0,6.9
SOL0085,2026-03-16 16:49,Farm_B,180,89.43,32.1,5.8
SOL0086,2026-06-20 06:04,Farm_B,120,73.75,29.5,6.2
SOL0087,2026-05-13 03:24,Farm_A,100,96.42,28.9,9.3
SOL0088,2026-06-19 13:11,Farm_D,180,91.34,31.7,5.8
SOL0089,2026-05-25 21:25,Farm_C,120,59.97,28.2,5.6
SOL0090,2026-02-06 12:01,Farm_D,100,48.12,26.6,4.8
SOL0091,2026-03-16 01:18,Farm_C,180,97.65,35.0,6.5
SOL0092,2026-02-26 19:35,Farm_D,100,43.05,35.1,4.7
SOL0093,2026-03-14 01:06,Farm_C,150,111.06,30.2,7.4
SOL0094,2026-01-02 09:16,Farm_A,120,65.34,35.1,6.1
SOL0095,2026-06-27 04:00,Farm_B,150,56.37,25.0,4.1
SOL0096,2026-07-20 16:32,Farm_B,120,105.34,33.1,8.5
SOL0097,2026-06-22 19:56,Farm_B,180,148.85,31.8,9.8
SOL0098,2026-01-14 14:38,Farm_C,120,56.28,32.2,5.1
SOL0099,2026-05-04 14:47,Farm_A,100,99.46,28.8,9.6
SOL0100,2026-02-02 22:17,Farm_A,180,92.27,37.9,5.3
SOL0101,2026-05-21 05:04,Farm_C,150,72.95,28.7,5.2
SOL0102,2026-02-21 17:55,Farm_C,180,161.01,30.2,9.9
SOL0103,2026-05-28 03:22,Farm_C,100,74.26,40.6,7.5
SOL0104,2026-06-01 10:39,Farm_B,100,35.63,29.8,3.5
SOL0105,2026-02-12 12:34,Farm_D,150,62.81,29.4,4.2
SOL0106,2026-01-14 09:50,Farm_C,150,81.92,31.9,5.9
SOL0107,2026-01-31 12:29,Farm_A,150,100.73,34.4,7.2
SOL0108,2026-01-07 05:13,Farm_C,150,44.34,44.6,3.6
SOL0109,2026-05-02 03:01,Farm_A,120,85.27,26.7,6.9
SOL0110,2026-03-15 08:07,Farm_C,120,69.06,31.5,5.7
SOL0111,2026-04-11 09:40,Farm_B,120,99.39,26.4,9.5
SOL0112,2026-01-04 14:47,Farm_A,120,77.22,30.8,6.8
SOL0113,2026-04-02 03:24,Farm_C,150,107.16,29.8,7.6
SOL0114,2026-05-09 04:11,Farm_A,120,120,31.0,9.6
SOL0115,2026-07-14 08:45,Farm_C,180,114.56,26.4,7.3
SOL0116,2026-07-06 12:09,Farm_A,180,65.53,33.1,3.8
SOL0117,2026-06-17 22:25,Farm_B,150,116.83,40.5,8.1
SOL0118,2026-02-15 22:25,Farm_C,180,110.28,31.5,6.5
SOL0119,2026-02-10 11:39,Farm_D,150,91.47,33.3,6.9
SOL0120,2026-05-02 11:36,Farm_C,100,68.89,30.4,7.9
SOL0024,2026-07-08 07:07,Farm_D,180,50.75,30.6,3.2
SOL0016,2026-06-21 00:14,Farm_A,100,42.5,35.3,4.6
SOL0004,2026-03-20 21:39,Farm_B,120,54.61,29.4,4.5
