record_id,timestamp,farm,panel_capacity_kw,panel_output_kwh,ambient_temperature_c,sunlight_duration_hours,Hour,Generation_Efficiency,Time_of_Day
SOL0070,2026-01-03 19:31:00,Farm_A,180,134.86,30.5,7.3,19,18.473972602739728,Evening
SOL0071,2026-06-26 07:23:00,Farm_D,150,57.94,34.3,4.1,7,14.131707317073172,Morning
SOL0072,2026-03-28 15:12:00,Farm_D,120,63.96,26.4,5.5,15,11.629090909090909,Afternoon
SOL0073,2026-07-29 07:36:00,Farm_C,120,49.91,41.1,4.9,7,10.185714285714285,Morning
SOL0074,2026-02-20 23:58:00,Farm_D,120,97.94,25.7,8.4,23,11.659523809523808,Evening
SOL0075,2026-01-21 14:35:00,Farm_C,150,93.17,35.0,7.1,14,13.122535211267607,Afternoon
SOL0076,2026-03-02 13:58:00,Farm_D,180,131.75,28.0,7.9,13,16.67721518987342,Afternoon
SOL0077,2026-03-07 02:26:00,Farm_C,120,66.33,35.2,6.6,2,10.05,Morning
SOL0078,2026-02-15 13:43:00,Farm_D,180,150.82,26.6,8.3,13,18.171084337349395,Afternoon
SOL0079,2026-02-05 03:54:00,Farm_D,180,80.1,36.6,5.2,3,15.403846153846152,Morning
SOL0080,2026-05-18 09:19:00,Farm_D,120,77.28,43.5,6.7,9,11.534328358208954,Morning
SOL0081,2026-07-26 13:44:00,Farm_A,100,42.72,24.8,4.8,13,8.9,Afternoon
SOL0082,2026-05-29 12:56:00,Farm_B,120,103.77,28.3,8.2,12,12.654878048780489,Afternoon
SOL0084,2026-07-21 23:25:00,Farm_B,120,71.38,31.0,6.9,23,10.344927536231882,Evening
SOL0085,2026-03-16 16:49:00,Farm_B,180,89.43,32.1,5.8,16,15.41896551724138,Afternoon
SOL0086,2026-06-20 06:04:00,Farm_B,120,73.75,29.5,6.2,6,11.89516129032258,Morning
SOL0087,2026-05-13 03:24:00,Farm_A,100,96.42,28.9,9.3,3,10.36774193548387,Morning
SOL0088,2026-06-19 13:11:00,Farm_D,180,91.34,31.7,5.8,13,15.748275862068967,Afternoon
SOL0089,2026-05-25 21:25:00,Farm_C,120,59.97,28.2,5.6,21,10.708928571428572,Evening
SOL0090,2026-02-06 12:01:00,Farm_D,100,48.12,26.6,4.8,12,10.025,Afternoon
SOL0091,2026-03-16 01:18:00,Farm_C,180,97.65,35.0,6.5,1,15.023076923076925,Morning
SOL0092,2026-02-26 19:35:00,Farm_D,100,43.05,35.1,4.7,19,9.159574468085106,Evening
SOL0093,2026-03-14 01:06:00,Farm_C,150,111.06,30.2,7.4,1,15.008108108108107,Morning
SOL0094,2026-01-02 09:16:00,Farm_A,120,65.34,35.1,6.1,9,10.711475409836067,Morning
SOL0095,2026-06-27 04:00:00,Farm_B,150,56.37,25.0,4.1,4,13.74878048780488,Morning
SOL0096,2026-07-20 16:32:00,Farm_B,120,105.34,33.1,8.5,16,12.392941176470588,Afternoon
SOL0097,2026-06-22 19:56:00,Farm_B,180,148.85,31.8,9.8,19,15.18877551020408,Evening
SOL0098,2026-01-14 14:38:00,Farm_C,120,56.28,32.2,5.1,14,11.03529411764706,Afternoon
SOL0099,2026-05-04 14:47:00,Farm_A,100,99.46,28.8,9.6,14,10.360416666666666,Afternoon
SOL0100,2026-02-02 22:17:00,Farm_A,180,92.27,37.9,5.3,22,17.40943396226415,Evening
SOL0101,2026-05-21 05:04:00,Farm_C,150,72.95,28.7,5.2,5,14.028846153846153,Morning
SOL0102,2026-02-21 17:55:00,Farm_C,180,161.01,30.2,9.9,17,16.263636363636362,Evening
SOL0103,2026-05-28 03:22:00,Farm_C,100,74.26,40.6,7.5,3,9.901333333333334,Morning
SOL0104,2026-06-01 10:39:00,Farm_B,100,35.63,29.8,3.5,10,10.180000000000001,Morning
SOL0105,2026-02-12 12:34:00,Farm_D,150,62.81,29.4,4.2,12,14.954761904761904,Afternoon
SOL0106,2026-01-14 09:50:00,Farm_C,150,81.92,31.9,5.9,9,13.884745762711864,Morning
SOL0107,2026-01-31 12:29:00,Farm_A,150,100.73,34.4,7.2,12,13.990277777777777,Afternoon
SOL0108,2026-01-07 05:13:00,Farm_C,150,44.34,44.6,3.6,5,12.316666666666666,Morning
SOL0109,2026-05-02 03:01:00,Farm_A,120,85.27,26.7,6.9,3,12.357971014492753,Morning
SOL0110,2026-03-15 08:07:00,Farm_C,120,69.06,31.5,5.7,8,12.115789473684211,Morning
SOL0111,2026-04-11 09:40:00,Farm_B,120,99.39,26.4,9.5,9,10.462105263157895,Morning
SOL0112,2026-01-04 14:47:00,Farm_A,120,77.22,30.8,6.8,14,11.355882352941176,Afternoon
SOL0113,2026-04-02 03:24:00,Farm_C,150,107.16,29.8,7.6,3,14.1,Morning
SOL0114,2026-05-09 04:11:00,Farm_A,120,120.0,31.0,9.6,4,12.5,Morning
SOL0115,2026-07-14 08:45:00,Farm_C,180,114.56,26.4,7.3,8,15.693150684931508,Morning
SOL0116,2026-07-06 12:09:00,Farm_A,180,65.53,33.1,3.8,12,17.244736842105265,Afternoon
SOL0117,2026-06-17 22:25:00,Farm_B,150,116.83,40.5,8.1,22,14.423456790123458,Evening
SOL0118,2026-02-15 22:25:00,Farm_C,180,110.28,31.5,6.5,22,16.966153846153848,Evening
SOL0119,2026-02-10 11:39:00,Farm_D,150,91.47,33.3,6.9,11,13.256521739130434,Morning
SOL0120,2026-05-02 11:36:00,Farm_C,100,68.89,30.4,7.9,11,8.720253164556961,Morning
